key,source,Translation
539844FD4B0A59C467D0FD906D3A17C8,MISSION ABORTED: You left the objective.,
FA88F2F7429C72D075CCFD8D59CF3BDD,Hull breached!,
79E7B3CC433CF404A11D069DD4263AC0,"Left wing breached, close off all access!",
C28B0D954FF00DFA614F399E7F42F038,Never surrender!,
E9709F9C439B7D43F503EC9421255C53,Shields are down!,
DB294D374618CF6A88192A83AC3730AC,Take out that warship!,
69D6DA6544A72EB4F8770BB39AF4B50B,Take them down!,
B7BC3B2645B3C36C644BAF886E1E77BE,Taking heavy fire!,
35B3833641B8B3E1DF4B37B4BEDBA8B7,We will make it!,
1173375A4F4A375A77CA1E9FFB7375DA,<Growls>,
28C008A741BF7D52E099D799914C962C,<Growls>,
A3538CEE4DD1191472F8C19C2316713B,<Growls>,
4816A3EF4CB62745B5A2DDA7919E355C,<Roars>,
67EE0DDA486FD2AD5FC18DABE7F16798,<Roars>,
6EEBF9BF45FBDE7794A4D8A7A2BCA578,<Roars>,
7BBCB6744CD961DC67F12E8164A6C997,<Screams>,
A1A71D414B1D2968C895A8B014CD2475,<Screams>,
DF2594B84E293ED7CB831BA2B72CC311,<Screams>,
31804E2D4E802787F5AEDC836EE48C35,<Shreeks>,
44CD222D47EED0A1B3A63F996B9BE3BB,<Shreeks>,
C9B600E445FD7DDC00791E97CAC59210,<Shreeks>,
62A48101439AF8B3A05B079046BB73BA,<Wails>,
8FDA8B56489E79988800709AF85C3771,<Wails>,
E95EA6E641690A599B187C8006CDC027,<Wails>,
2EE46BA44CAEC4CA1D960FA2788D5681,Temple hall exit,
2F7877D1425191A33305A2BF2898BBCA,Destroy guards,
5D9BA7444C887768FF048184C0634FA3,Destroy guards,
DA77ABDA4DB7B1DEA6DBB19443A2F5A2,- I will fight beside you.,
C7D7BE1649558A1D2DE00CA9BB16F3A3,A FISHLABS PRODUCTION,
FB2A9F5841F18E14EFF969B52C940A73,A REUNION,
049BAB8F430E03ADD87544BD062866BB,"After the destruction of Nimika Prime and crippled by guilt,",
85959FC14C0A62CB23368D8B0A5B32C4,"At space stations, you’ll be able to upgrade, interchange",
377313F6460E55C4FA2202B70AEC1B02,But you won't be able to do this alone.,
D536A76A4973F4546D26D8957E49E813,CHORUS is an awe-inspiring space shooter,
280D2F314B69DFE2D2035EB7FD139486,Chain these abilities together with Forsaken's attacks,
5C2EE3E2464EE7130850CFA199BD931A,DEEP SILVER PRESENTS:,
13DF02064D06FEDD10B81B81FE9E7891,DISCOVER THE UNKNOWN,
1AC9CADC480EB7F9907E9AAB595926FD,Each star system is yours to explore as you see fit.,
2ED29C3C40F0F77D15B17C82F2306CA9,"Embark on high-risk, high-reward missions",
A012E4EC4F29E92C92A4C8BEC6B74BA0,Every pilot needs a ship…,
CF6B1930497E241E316E0FA4A9C726CB,Experience fast-paced space combat across mind-bending astral planes,
39F139884475D7C9C989159F9AA01659,Feel every movement in combat,
B0D4DB544A7878FBD512BAA5FA832D60,Forsaken is a sentient ship and Nara’s oldest ally.,
38975EC449504692BEC2999DFE2613AE,IT ENDS WITH US,
83E03345476157D0C6728B892449BE34,IT STARTS WITH YOU,
F78B488547DBB068314C71A86465F117,Inside each Temple is a labyrinth of mind bending mazes,
26A72C174F1C9E17A203A6A8A10A3D67,It’s time to face the demons of the past.,
0B48557A4944741FBACA2FB15CDADBE8,"It’s time to unite the galaxy,",
081FC66F433917374E89ED8A15B80B22,It’s up to you how you light the fire of revolution.,
E353757B410E0B0CD287588DB546647B,LEAD THE REVOLUTION,
E1C50A6B4D368A99BCBFC8ADD9481B2E,"Nara abandoned the evil cult, burying everything dear to her.",
9EFEE4AD447ACDB5EC78D5AC84D87B11,"Nara's story will lead you to discover mysterious temples,",
E89C1CEA4AC24DCF98B8548BC6F0CBBC,"Now, Nara must reclaim her lost powers,",
E5934CAF4AE21FD82F6E88B4C56D1459,PRE-ORDER NOW,
04426F584BFCA1F80DED97BDFB1CDC27,Plot a course and journey across the deepest reaches of space.,
C517E78C45544E9D4A4309A95F5ABFD0,Prepare for each battle by customising your weapons.,
6125ECA644CC80A2B60FC2AB9C0E6C07,RISE AS ONE,
5E8B98474096965D527BDAB9A28A89F6,Rise as one.,
7A10F80842B6F59314B7BBA87AE6562A,THANKS FOR PLAYING!,
15F6D3E4429F24E3BB8A1C938B61CE0A,"The Rite of the Senses, The Hunt, and The Storm.",
52C2D7A4421DBAF4DED920B5460BBEE1,The same power that makes Nara unstoppable in combat… The Rites.,
547C040D42F66AEB252FADA001921A90,The two share a deep bond and together were an unstoppable force.,
2D3FEFD84E0727A9450057BCA707FDD0,"There are people out there who need help,",
FBEB204143BE8AF0BF556A862100909A,This…,
A9F0F57046A708B1FA4FFE9BC5AB226F,"When The Circle returns, there is nowhere left to hide.",
99BED7F44870F0CC743159AA386D183C,"With every battle, your power will grow,",
E785E6AE41548CD93FA684A121E37A94,"You play as Nara, the former right hand of The Great Prophet",
7FC2953940B031B0E84B3881F8C45DA3,ancient relics of the interdimensional beings,
873739DE48B4674B8E0820ADE597BD54,"and commander of otherworldly power amongst The Circle, ",
3277395A4F45025D2A412280DD2A6ED6,and customise your arsenal ready for any battle.,
50833C1D447BA7E4D626859471E8FB3C,and gain allies in your fight.,
677436FB4BFE62C1AB7E04952A6655AA,and unleash your true power on your enemies.,
649EA03048C8CF3518DFF68DB98A4D3E,be one with Forsaken and defeat the evil tyranny of The Circle,
2F5F7E1145F8974DB64788B4BED8DF4C,before the galaxy is lost forever.,
3F7BE6F748AEB2A97E8A72A1CCE5D48A,ignite the fire of rebellion and together…,
2837B1D54FC7F57D985A529F87DC299E,in an epic story to overthrow the biggest threat the galaxy has seen.,
C2EE862047D91610DF6E4D801558F392,in search for freedom and redemption.,
390662824F00D65542ADD4909257420E,is CHORUS.,
3F366DA74F5E9452BBF8679EA22DEAE9,"known as The Faceless, masters of immense, reality-bending power.",
7541FC5D444EB4CA54331EAD23576AF4,need Nara to lead them in the ultimate fight for freedom.,
2A56B50048F58B8EFE05409EC706BA78,"need to combat The Circle and, most of all,",
CE4823FF422D99F7B9E26EB2D08B6932,that hide horrifying transdimensional danger,
A4AB543243F43DDC5E26FA994AF41A76,that will immerse you in an epic battle across the galaxy,
1C157A0D427626146B58F68E924D7CF6,that you will need to conquer to reclaim Nara’s power.,
C37274194F81021B04F9E4A6DC8C267C,unifying you both as the ultimate force in the galaxy.,
DC355093483FDD703FDD12879DED69E2,where every decision made could mean victory or destruction.,
D5AC3C014D3723AD0DFF00998DED71CD,who rule over the galaxy with an iron fist.,
E30010634E6FC207651B18A479D615A2,"with kinetic, tactical and breathtaking gameplay,",
Character::Character.RacePilot.Name,Race Pilot,
Character::Character.KeithResistance.Name,The Resistance,
[/Script/SpacePrototype]::A794F9894454F3B35DD750ABB9FC53D0,Artok,
ContentInstallPopup::PopupText,Additional content needs to be installed to continue. Please wait until installation is complete.,
ContentInstallPopup::ButtonBack,Back,
ContentInstallPopup::PopupTitle,Installing content,
ContentInstallPopup::ButtonReturnToMainMenu,Return to Main Menu,
ControllerDisconnectedPopup::ButtonContinue,Continue,
ControllerPairPopup::ButtonPreviousProfile,Continue with previous profile,
ControllerPairPopup::PopupText,Do you want to go to the Main Menu and switch to the new profile? Or do you want to sign in and continue with the previous profile?,
ControllerPairPopup::ButtonMainMenu,Main Menu,
ControllerPairPopup::PopupTitle,Your controller has been paired to another profile,
CorruptedSaveDataDeletedPopup::PopupText,The following saved data has been removed:,
CorruptedSaveDataDeletedPopup::PopupTitle,Your saved data was removed due to corruption,
General::Comma,",",
HUDAnnouncement::PowerAnnouncement_Equip,New Power: {PowerName},
HUDAnnouncement::PowerAnnouncement_Upgrade,Power Upgrade: {PowerName},
InteractionPrompt::UserActionRequest,Press {ActionInput},
MissionDialogue::MissionDialogue_SubtitleFormat,<BH1>{Speaker}:</> {Line},
SaveGame::Autosave,Autosave,
SaveGame::PreferencesSubTitle,Preferences,
SaveGame::SaveGameSubTitle,Save Game,
SaveGame::SavedGameNR,Saved Game <NR>,
SaveGame::GameTitle,UNLEASHED,
SettingScreen::SettingScreen_DefaultInfoText,No additional info for this setting available,
StaticMeshLODSettings::Aggressive,Aggressive LOD,
StaticMeshLODSettings::Asteroids,Aggressive LOD Preset for Asteroids,
StaticMeshLODSettings::Reduction Test (DEBUG),Preset with very mild triangle reduction per LOD to evaluate reduction quality. Only for testing!,
UI::Direction_Down,Down,
UI::ED65A176448B6A91F42D62B860C00B92,ENTER TO START MISSION,
UI::Direction_Left,Left,
UI::Direction_Right,Right,
UI::Direction_Up,Up,
UI_Codex::FEAC66D6463E791FCCDCB29EF516D450,AUDIO FILE,
UI_Codex::Tab_Collectables,COLLECTABLES,
UI_Codex::Tab_Goals,GOALS,
UI_Codex::Tab_Lore,LORE,
UI_Codex::Tab_Senses,SENSES,
UObjectCategory::Audio,Audio,
UObjectCategory::UI,UI,
PublicDemoStringTable::Mission_MeetInformant_Marker_Asyx,Asyx,
PublicDemoStringTable::Mission_DefWeak_EnemyName_Scout,Circle Crow,
PublicDemoStringTable::Mission_DefWeak_EnemyName_Fighter,Circle Raven,
PublicDemoStringTable::TrailerVideo_Speaker,Narrator,
PublicDemoStringTable::Mission_DiversionTactics_TutorialInfo_Description,Press {ActionInput} to start your <BH1>sub-light drive</> and cover vast distances.,
PublicDemoStringTable::IntroVideo_WeaponSwitch_IP_ToDo,Press {ActionInput} to switch weapons,
PublicDemoStringTable::IntroVideo_WeaponSwitch_TB_Text,"Switch between weapons with <gameaction id=""SelectPrimaryWeapon2"" width=""54"" height=""54""/> <gameaction id=""SelectPrimaryWeapon1"" width=""54"" height=""54""/> <gameaction id=""SelectPrimaryWeapon3"" width=""54"" height=""54""/> and pick the best weapon for the job.",
PublicDemoStringTable::OutroVideo_ThanskForPlaying,THANK YOU FOR PLAYING,
PublicDemoStringTable::Mission_DefWeak_Intro_Video_RiteSense,Use <BH1>Rite of the Senses</> to highlight mission-relevant objects in the environment,
PublicDemoStringTable::Mission_DefWeak_Intro_RiteHunt,"Use <gameaction id=""ActivePower1"" width=""54"" height=""54""/> to <BH1>leap</> onto enemies and targets.",
PublicDemoStringTable::Mission_DefWeak_Intro_VulnerableGatling,Vulnerable against Gatling guns,
PublicDemoStringTable::Mission_DefWeak_Intro_VunerableLaser,Vulnerable against laser weapons,
PublicDemoStringTable::Mission_DefWeak_Intro_VulnerableMissiles,Vulnerable against missiles,
PublicDemoStringTable::IntroVideo_Welcome,WELCOME TO OUR DEMO,
PublicDemoStringTable::IntroVideo_WeaponSwitch_IP_Text,Weapon Switch,
PublicDemo_2021_11::GetFullVersion,Get the full version,
PublicDemo_2022_01::DemoEndLinePart3, from the main menu to experience Chorus’ entire campaign – ,
PublicDemo_2022_01::DemoEndSection1Title,A JOURNEY OF REDEMPTION,
PublicDemo_2022_01::DemoEndLinePart4,AVAILABLE NOW!,
PublicDemo_2022_01::DemoEndSection3Line,Attain unique weapons. Unlock deadly abilities. Chain powers together to become the ultimate living weapon.,
PublicDemo_2022_01::DemoWelcomeLine3,Capture your most stunning moments using PHOTO MODE and share them with the community.,
PublicDemo_2022_01::DemoEndSection2Line,"Enter a dark new universe, teeming with mystery that balances the scale and spectacle of exploration with fast-paced action.",
PublicDemo_2022_01::GetFullVersionEpic,GET THE FULL VERSION ON EPIC GAMES STORE,
PublicDemo_2022_01::GetFullVersionSteam,GET THE FULL VERSION ON STEAM,
PublicDemo_2022_01::DemoSocial1Title,JOIN THE COMMUNITY,
PublicDemo_2022_01::DemoWelcomeLine1,Join Nara and her sentient ship Forsaken on a quest for redemption across the galaxy.,
PublicDemo_2022_01::DemoEndSection3Title,"ONE PILOT, ONE SHIP, ONE LIVING WEAPON",
PublicDemo_2022_01::DemoWelcomeLine2,"Play two explosive missions from the CAMPAIGN and experience exhilarating zero-g combat, devastating weapons and mind-bending abilities.",
PublicDemo_2022_01::DemoSocial2Title,SHARE YOUR PHOTO MODE CREATIONS,
PublicDemo_2022_01::DemoEndLinePart1,Select ,
PublicDemo_2022_01::DemoEndTitle,THANK YOU FOR PLAYING!,
PublicDemo_2022_01::DemoEndSection1Line,Take control of Nara in the quest to destroy the dark cult that created her and journey beyond the boundaries of reality.,
PublicDemo_2022_01::DemoSocial1Line,Twitter // Facebook // Instagram: @ChorusTheGame,
PublicDemo_2022_01::DemoEndSection2Title,VENTURE BEYOND THE VOID,
PublicDemo_2022_01::DemoWelcomeTitle,WELCOME TO THE CHORUS DEMO,
PublicDemo_2022_01::DemoWelcomePressQuote1b,– Rock Paper Shotgun,
PublicDemo_2022_01::DemoWelcomePressQuote3b,– The Escapist,
PublicDemo_2022_01::DemoWelcomePressQuote2b,– VG247,
PublicDemo_2022_01::DemoWelcomePressQuote2a,“A delightful surprise”,
PublicDemo_2022_01::DemoWelcomePressQuote1a,“A potent package”,
PublicDemo_2022_01::DemoWelcomePressQuote3a,“Varied and beautiful”,
