"key","source","Translation"
"884F21F84345CCA801D6098A9108D2AA","(Reaver Human) (Determined) I didn’t ask for this.","(Жертва мізкожера) (рішуче) Я не просив цього."
"606B81FA4316E67E25B2D7A5779C8F64","(Reaver Human) (Determined) I never wanted it to be like this.","(Жертва мізкожера) (рішуче) Я ніколи не хотів цього."
"8FD611BD4F9C7147BE621F8FE3854CAD","(Reaver Human) (Dispair) Come back, please.","(Жертва мізкожера) (відчай) Повернися, благаю."
"E64E826649A6894BA750D0A13C596499","(Reaver Human) (Dispair) I’m so alone...","(Жертва мізкожера) (відчай) Мені так самотньо..."
"6265A3EF480E78CD7FF4F1A537C2D523","(Reaver Human) (Dispair) Oh, nonononono","(Жертва мізкожера) (відчай) Ох, ні-ні-ні-ні..."
"712EB82241EF7E2E80A70A886826FC20","(Reaver Human) (Dispair) Please, don’t leave.","(Жертва мізкожера) (відчай) Будь ласка, не йди."
"4D69E94F43B2841F24C5FF9BD32F0D37","(Reaver Human) (Eager) Can’t go on like this!","(Жертва мізкожера) (охоче) Так не може тривати далі!"
"30478D214FF52948E9EAC28CC37BD0D0","(Reaver Human) (Eager) Don’t stop.","(Жертва мізкожера) (охоче) Не зупиняйся!"
"148EAB3E44F2A4509B9F038C93E3D138","(Reaver Human) (Eager) I need this!","(Жертва мізкожера) (охоче) Мені це потрібно!"
"4ABCE109483484E115A2B8BF390EFB76","(Reaver Human) (Eager) More, please.","(Жертва мізкожера) (охоче) Більше, будь ласка!"
"9DC5D66D403B7A4A640A1084B90B43CE","(Reaver Human) (Encouraging) I can’t!","(Жертва мізкожера) (обнадійливо) Я не можу!"
"7635E1A64FF13402E8BA6DB83AB1EEE8","(Reaver Human) (Encouraging) I’m sorry!","(Жертва мізкожера) (обнадійливо) Вибач!"
"FA6A385D48D2D485269C609AF12299AC","(Reaver Human) (Encouraging) Just leave.","(Жертва мізкожера) (обнадійливо) Просто йди!"
"43FC6D3F43ACACA4EB155BA931B745C7","(Reaver Human) (Encouraging) This hurts me too!","(Жертва мізкожера) (обнадійливо) Мені теж боляче!"
"AF7F8C6943D6E52A2C31FBB2A7A6BE10","(Reaver Human) (Excited) You’re... you’re back!","(Жертва мізкожера) (захоплено) Ти... ти повернувся!"
"DD1B369249010A6FA30174A638D7C5D2","(Reaver Human) (Pleading) Don’t leave me!","(Жертва мізкожера) (благає) Не покидай мене!"
"C2C93BE84F2FA088D77B258416C2592A","(Reaver Human) (Pleading) No, come back.","(Жертва мізкожера) (благає) Ні, повернися!"
"7D7A9B104D9E58A2157B66827BCD5124","(Reaver Human) (Pleading) Oh, god, I can hear it!","(Жертва мізкожера) (благає) О боже, я це чую!"
"8861C3C446A8D53077D94FB04D386A08","(Reaver Human) (Pleading) Please come back.","(Жертва мізкожера) (благає) Будь ласка, повернися."
"4AB58FB540DE25AF3EE9F2AEFFB6006B","(Reaver Human) (Relief) It’s all I had left.","(Жертва мізкожера) (полегшено) Це все, що мені залишилося."
"38B057FC468FC6C9E44A149A5C46E40D","(Reaver Human) (Relief) I’m so tired.","(Жертва мізкожера) (полегшено) Я так втомився."
"E472FDB645FEEA1E79E3D292CA6BF9E2","(Reaver Human) (Relief) Thank you.","(Жертва мізкожера) (полегшено) Дякую."
"156A33924DC0A51C95C562A8269F2857","(Reaver Human) (Slow realization) He...help...help me! Help mee!","(Жертва мізкожера) (повільне усвідомлення) До... допоможи... допоможи мені! Допоможи!"
"A4770DC446DB2C966B6D4F99B8977A32","(Reaver Human) (Slow realization) Nononono","(Жертва мізкожера) (повільне усвідомлення) Ні-ні-ні-ні-ні..."
"44E9F39D4AC453A352863D8455936EDB","(Reaver Human) (Slow realization) Not like this.","(Жертва мізкожера) (повільне усвідомлення) Не так."
"B72CB6E14A0CCDC7E73A6A8BD113CA23","(Reaver Human) (Slow realization) Please, no!","(Жертва мізкожера) (повільне усвідомлення) Будь ласка, ні!"
"B93915834AC8EA5EAFF43CACBEEFF36E","(Reaver Human) (Slow realization) Who, who are you?","(Жертва мізкожера) (повільне усвідомлення) Хто, хто ти?"
"32D7284B48FB6CDB43FD0FBF9BF20A44","(Reaver Human) (Yelling)","(Жертва мізкожера) (кричить)"
"16BA0C36444AEE91DF43A894B24B98E5","(Reaver Human) I’m all alone.","(Жертва мізкожера) Я зовсім один."
"8BA1F34C43A469BE6223FE94B99CEE31","(Sigh)","(зітхає)"
"B714841A428E0F66525612BFFA6F60F4","(Whimper)","(стогне)"
"0A7F8C0C43B2CF2FCD56E6A525A44558","*******","*******"
"EA31F34E425FA71FEC66149A4A336751","*******","*******"
"F7571B4B4161B44A51AE1191A241B430","+10 SEC","+10 С"
"19EEA873473E090E7FBF619CD9F77E88","+{Time} SEC","+{Time} С"
"E796F0834367BA259D05EF96920599A0","---------","---------"
"25FD0F164900F25D327D6CADB4A14B30","-----------","-----------"
"866B852048127461BD1C04BB24BA4E3A",".","."
"A50F514442DC967D88A58C970BF6BB15","..",".."
"316B07234434967F0D4999B292EFBA86","...","..."
"6D9088CD405A64BF7F560688BD89464C","...","..."
"7CC484D145636DB960443AA1F79046C6","...","..."
"84A28F7C4346B77AF3A5B98D3786323B","...","..."
"C689274F4C650D6B7B68B59943CAE36D","...","..."
"C75D8FF54AD295F16BBEEE83A353B0B3","...","..."
"D43C51314082B6F52C0E978657D66B81","...","..."
"64D3D29D4F47D393E677509D4FB46655","...Confirmed","...Підтверджено"
"9984581B4423AB95CD6092AEE73CEFF9","...Confirmed","...Підтверджено"
"B837C98E481272DFC704239D6FFEE5C6","...Confirmed","...Підтверджено"
"3AF2CB4044727FE85A224AA32599D74D","...Truth is I lost my scissors when gambling with the Mushroom Gang. They’re the only set strong enough to cut my hair.","...Насправді, ножиці було втрачено за азартною грою з Грибною бандою. І лише вони були достатньо міцними, щоб підстригти моє волосся."
"4C0B41EF40D1C4FF335D0DB76A687C70","...but...but my opulent single-family homes!","...але... але мої розкішні приватні будинки!"
"37901B264AF26F4483733D8E087D20C3","...die...let me...die.","...вмерти... дай мені... померти."
"C5E2BEC2452EDF1EF6A27F8C1FC415FC","...huh?","...га?"
"ED600D8D4177DFC0382C9384FDD74234","...sure, just wanted to say thank you for the help.","...звісно, просто хотілося подякувати за допомогу."
"215880924A267E5FF55FF4BE42D8C163","...thank you, Ted.","...дякую, Теде."
"83A81AA34ACF426879FD1B8DCD450508","...you might win this day...","...може сьогодні ти переможеш..."
"0AA15C844F3D7F12828932957C3BDF51",".99",".99"
"3D8CB78C432CA60165A393BD32B0A7DF",".{Milliseconds}",".{Milliseconds}"
"C85000A14EE35A8EDDDB7DB86D5308A0","/68","/68"
"7123DB3C4DF9ECA8B7A23DA71EECF002","/E58D0043...","/E58D0043..."
"7FC46EA4456AFA42B8E92B8E23FD9416","/ROOT/$C$L16...","/ROOT/$C$L16..."
"0E89FA03462F455A01EAD3AD1F755A6D","/r12, [#ЛІД]...","/r12, [#ЛІД]..."
"6D3724F84FDCE4DEFDD2A0B8024C40E1","0","0"
"6FFC719B41ACCA5AF90CC0B3B9E81FBE","0","0"
"BC81DA1142A662A441604291EF83ACB2","0","0"
"C1137AD14C58C5C6F12DFE98D089915F","0","0"
"CEBB1B6E49919EFE5D83DAA7527DCE4F","0","0"
"E5B09A5B44D40197A8C26DBA8164FEA6","0","0"
"E66DB8F946A206030F67CEBB2A537C4E","0%","0%"
"190242FA4B3FBD7056C213BCA7677FDA","0.0","0,0"
"B43332104DCBFE0CB0DE2AABA1861CA7","0.0 Tbps","0,0 Тб/с"
"ECD34F6E4C6AF76DD44535B77ACAB8E9","00000018 48 15 16 23 42 10 57","00000018 48 15 16 23 42 10 57"
"36B8616F443130F86262CBAF89847A4B","0048 RPD","0048 О/Д"
"8BF7847A47C9089E30791881C7D8B941","01/01/72","01/01/72"
"F8D68322492A20A2621197B1243890FF","0{number}","0{number}"
"2716794A4275AE6EDA7B678549BA6EF3","1","1"
"2AA7CFF5460C2A0BB7A0019C1C6E6EE0","1","1"
"2B1631A24BE22ECBE5326890ACBD272C","1","1"
"36FE81A94D6FA79F195C12BA18AF7726","1","1"
"67D77CE84F37B1E2AC20DF9D08CCE88F","1","1"
"74D7CB0E4664B21B592EC69EB7AD3A40","1","1"
"78C3906F449D02023D2F64848DF7130E","1","1"
"840A3CBD499B3D7E52E43A89159AA061","1","1"
"994DCF9B40F00A839AFFABBE79ED78B0","1","1"
"05FF1F984B46D260F44DBDBC0563C58E","10","10"
"15A166E6444933505BD55AB509849C44","10","10"
"170662CE46E491CF052DFC9A090808E6","10","10"
"2C0A75F34C63B313909069B37BF79E13","10","10"
"35C493BD411337E37D17268A8C96FC5E","10","10"
"4736545845B84D959738C2B91E1D3722","10","10"
"491AAAD9488BE53E1F445E8B9131AFF9","10","10"
"5818628449D64937FA45B0A754EF671D","10","10"
"5CDEEC5C4D943A59CEC400A98DA87ADD","10","10"
"821887A748A681CF767EDF9F2ED355EF","10","10"
"8868800047C1024F5899859D9BBA1B22","10","10"
"8C1415974A4E00613ACC769A6C23D962","10","10"
"8FCED2804B9A2821669A4198F6E64798","10","10"
"A2E69FA04B00CA6B6ACB73AB4E05B30E","10","10"
"C0E33D244774942003899392E5EAD017","10","10"
"C6E4F3DF43D29832C165698ED6501A92","10","10"
"CC29227544178449787C0FB96AA996FB","10","10"
"E4F53B334E0FCB9AF48A89B37F0A80D4","10","10"
"FA4A7ED44F6217F3BC6F9EA246CDFC01","10","10"
"22A6D14D4E48CF855A38289DB78CEAEF","100 LBP","100 LBP"
"384B30CD44830C335F3000B90A66B7D3","11.OCT.72","11.ЖОВ.72"
"90BE667C4676D2E5BEDB1FA9D40ACD63","11.OCT.72","11.ЖОВ.72"
"3AF087F045BB73E86F7E65B82744BC90","12","12"
"357D35854C7A6C695DD615A8E8A1FE16","14","14"
"3B3C5BEF47411DAF41C5D49D4EA2E67E","2","2"
"82B54C604EB771C86E88EAA05AE3C2A6","2","2"
"FFCB5C484B22323B509241909650F55E","2","2"
"A22877F543A962D5268655B8FB1ADC05","2-4601","2-4601"
"8DF9D2D34D56F341DF8F038CEFF48655","21","21"
"2B1F32D44C491A73577B1C825177DAAF","23","23"
"3073C4454FE5E82E70D04B993C56A7F4","23","23"
"6AAE51FD472356481D98D785F8FBBF41","24/30","24/30"
"A21F79DA43A63808C11CF1AD75C78BBE","24C2","24C2"
"88D6A0B14C89B3A556BE49BF7C33F865","24C4","24C4"
"3120FCBD41410392651C31B185A00FCB","24C7","24C7"
"759288644CE5DF1C50CC39A130D3DAA0","24CB","24CB"
"BD503D744A8089F1DF2224AE2F29841F","25","25"
"CC67883F4A9B365F4F9A3585309E6A90","2966BD21  15 35 66 41 52 97 29","2966BD21  15 35 66 41 52 97 29"
"3AFFD89641DEC4DFF373DEAD7E735D7E","3","3"
"B168FF274E91F8E57A300FAF9891EBD1","3","3"
"B2999C5D4AD24223BEF42889D9BF106C","3","3"
"BCAB7AA94F6FBDE005E9999451882443","3","3"
"CF70BCEE46E7C31A2B102BA54F9A6BDB","3","3"
"FEC67D0E426AA8109D46E98634DBEE4A","3 REMAINING","ЗАЛИШИЛОСЯ 3"
"0CBE75A34B5DDD76E7377B97D7D547D8","30 Years Later","Минуло 30 років"
"4676D2314EA975DF0D4FFEA1CD580155","37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf>42	88 41 52 40 83 54<cf>83	48 50 12 53 65 17<cf><cf>70 38 38 85 68 48 32<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf><cf>42 88 41 52 40 83 54<cf>83 48 50 12 53 65 17<cf>70 38 38 85 68 48 32<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf><cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf>42 88 41 52 40 83 54<cf>83 48 50 12 53 65 17<cf>70 38 38 85 68 48 32<cf><cf>15 35 66 41 52 97 29<cf>70 38 38 85 68 48 32<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf><cf>04 28 06 38 27 80 32<cf>42 88 41 52 40 83 54<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf><cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf>83 48 50 12 53 65 17<cf>70 38 38 85 68 48 32<cf><cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf>42	88 41 52 40 83 54<cf>83	48 50 12 53 65 17<cf><cf>70 38 38 85 68 48 32<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf><cf>42 88 41 52 40 83 54<cf>83 48 50 12 53 65 17<cf>70 38 38 85 68 48 32<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf><cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf>42 88 41 52 40 83 54<cf>83 48 50 12 53 65 17<cf>70 38 38 85 68 48 32<cf><cf>15 35 66 41 52 97 29<cf>70 38 38 85 68 48 32<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf><cf>04 28 06 38 27 80 32<cf>42 88 41 52 40 83 54<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf><cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf>83 48 50 12 53 65 17<cf>70 38 38 85 68 48 32","37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf>42	88 41 52 40 83 54<cf>83	48 50 12 53 65 17<cf><cf>70 38 38 85 68 48 32<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf><cf>42 88 41 52 40 83 54<cf>83 48 50 12 53 65 17<cf>70 38 38 85 68 48 32<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf><cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf>42 88 41 52 40 83 54<cf>83 48 50 12 53 65 17<cf>70 38 38 85 68 48 32<cf><cf>15 35 66 41 52 97 29<cf>70 38 38 85 68 48 32<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf><cf>04 28 06 38 27 80 32<cf>42 88 41 52 40 83 54<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf><cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf>83 48 50 12 53 65 17<cf>70 38 38 85 68 48 32<cf><cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf>42	88 41 52 40 83 54<cf>83	48 50 12 53 65 17<cf><cf>70 38 38 85 68 48 32<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf><cf>42 88 41 52 40 83 54<cf>83 48 50 12 53 65 17<cf>70 38 38 85 68 48 32<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf><cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf>42 88 41 52 40 83 54<cf>83 48 50 12 53 65 17<cf>70 38 38 85 68 48 32<cf><cf>15 35 66 41 52 97 29<cf>70 38 38 85 68 48 32<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf><cf>04 28 06 38 27 80 32<cf>42 88 41 52 40 83 54<cf>15 35 66 41 52 97 29<cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf><cf>37 36 33 67 28 26 22<cf>05 11 58 37 66 20 51<cf>04 28 06 38 27 80 32<cf>83 48 50 12 53 65 17<cf>70 38 38 85 68 48 32"
"A5C82840428A3A7AA06B63977E9955A9","4","4"
"A8F12375480809F4003461924340C0D7","4","4"
"8EDC14D14423E9B8BAC16FB20E42B370","4.5","4.5"
"304F9EFB467DCFFFFBFF52B174018552","42 Years Later","Минуло 42 роки"
"B486C1CD43AE56A716BF18BD5E4D9C6E","4E44","4E44"
"1DE6561C42156DA70B06CEA51807FE3C","4SF","4SF"
"56D5DE7F4E865AE5E2A26F9EED125C8E","5","5"
"28CDBB844A89D7FAD9ADA69155FC6B4E","5 Star-Hot Crisps","Чипси 5-зіркової гостроти"
"C2D3C5E24DB143D75F3E7FB56BF20A50","5 Star-Hot Crisps are the hottest bites on board. With a spice level rating of 5, they are sure to bring the heat. Ingredients: Enriched Corn Meal, Salt, Monosodium Glutamate, Yeast Extract, Paprika, and Cayenne Pepper","Чипси 5-зіркової гостроти — найгостріший перекус на борту. З рівнем пекучості в 5 балів, вони неодмінно додадуть жару. Інгредієнти: збагачене кукурудзяне борошно, сіль, глутамат натрію, дріжджовий екстракт, паприка та кайєнський перець."
"EA10FB744E783516DCC95D907D777172","5F33","5F33"
"FF6C5C4D4AEA0CD7160B16AB9BD6398D","5F34","5F34"
"59365D3D4F635A4C5071789FCF6EE430","5F55","5F55"
"6E588D264BF31206E8B453967EB1C1B8","5VR","5VR"
"54C970F1481EEC4B2B3C7DAE07D36A8A","5u5h154n","Суш1с4н"
"67DDF103488B4908767F668A715E295B","6","6"
"AC24302D4EBD1965C66527900983F2F9","6","6"
"32F686654C1E2D65B66FBA9E34C6703B","65021975  05 18 A3 19 84 13 37","65021975  05 18 A3 19 84 13 37"
"957B052643E55C000DADE4AFDC332FEC","7","7"
"03D439AF41FAFC4390145881F139EC89","76503852<cf>95FCDD66<cf>0F218918<cf>2966BDDE<cf>D5273962<cf><cf>EAECD5EC<cf>20E422EC<cf>82177D9E<cf>D051E7DC<cf>EC0B2627<cf><cf>ADCF59D2<cf>83026F76<cf>0F2189EC<cf>2966BD21<cf>D527397D<cf><cf>EAECD530<cf>20E42221<cf>82177DE4<cf>D051E77D<cf>EC0B26E4<cf><cf>ADCF5996<cf>83026F22<cf>D52739E4<cf>EAECD542<cf>20E4220E<cf><cf>82177DCD<cf>D051E7CD<cf>20E4221E<cf>82177D7D<cf>D051E773<cf><cf>EC0B26E7<cf>ADCF59E4<cf>83026FE4<cf>20E422EC<cf>82177D9E<cf><cf>76503852<cf>95FCDD66<cf>0F218918<cf>2966BDDE<cf>D5273962<cf><cf>EAECD5EC<cf>20E422EC<cf>82177D9E<cf>D051E7DC<cf>EC0B2627<cf><cf>ADCF59D2<cf>83026F76<cf>0F2189EC<cf>2966BD21<cf>D527397D<cf><cf>EAECD530<cf>20E42221<cf>82177DE4<cf>D051E77D<cf>EC0B26E4<cf><cf>ADCF5996<cf>83026F22<cf>D52739E4<cf>EAECD542<cf>20E4220E<cf><cf>82177DCD<cf>D051E7CD<cf>20E4221E<cf>82177D7D<cf>D051E773<cf><cf>EC0B26E7<cf>ADCF59E4<cf>83026FE4<cf>20E422EC<cf>82177D9E","76503852<cf>95FCDD66<cf>0F218918<cf>2966BDDE<cf>D5273962<cf><cf>EAECD5EC<cf>20E422EC<cf>82177D9E<cf>D051E7DC<cf>EC0B2627<cf><cf>ADCF59D2<cf>83026F76<cf>0F2189EC<cf>2966BD21<cf>D527397D<cf><cf>EAECD530<cf>20E42221<cf>82177DE4<cf>D051E77D<cf>EC0B26E4<cf><cf>ADCF5996<cf>83026F22<cf>D52739E4<cf>EAECD542<cf>20E4220E<cf><cf>82177DCD<cf>D051E7CD<cf>20E4221E<cf>82177D7D<cf>D051E773<cf><cf>EC0B26E7<cf>ADCF59E4<cf>83026FE4<cf>20E422EC<cf>82177D9E<cf><cf>76503852<cf>95FCDD66<cf>0F218918<cf>2966BDDE<cf>D5273962<cf><cf>EAECD5EC<cf>20E422EC<cf>82177D9E<cf>D051E7DC<cf>EC0B2627<cf><cf>ADCF59D2<cf>83026F76<cf>0F2189EC<cf>2966BD21<cf>D527397D<cf><cf>EAECD530<cf>20E42221<cf>82177DE4<cf>D051E77D<cf>EC0B26E4<cf><cf>ADCF5996<cf>83026F22<cf>D52739E4<cf>EAECD542<cf>20E4220E<cf><cf>82177DCD<cf>D051E7CD<cf>20E4221E<cf>82177D7D<cf>D051E773<cf><cf>EC0B26E7<cf>ADCF59E4<cf>83026FE4<cf>20E422EC<cf>82177D9E"
"44C9A67A4F00DA6A16FF28BB5DD2E41F","76503852 95FCDD66 0F218918 2966BDDE D5273962 EAECD5EC 20E422EC 82177D9E D051E7DC EC0B2627 ADCF59D2 83026F76 0F2189EC 2966BD21 D527397D EAECD530 20E42221 82177DE4 D051E77D EC0B26E4 ADCF5996 83026F22 D52739E4 EAECD542 20E4220E 82177DCD D051E7CD 20E4221E 82177D7D D051E773 EC0B26E7 ADCF59E4 83026FE4 20E422EC 82177D9E<cf>82177D9E D051E7DC EC0B2627 ADCF59D2 83026F76 0F2189EC 2966BD21 D527397D EAECD530 20E42221 82177DE4 D051E77D EC0B26E4 ADCF5996 83026F22 D52739E4 EAECD542 20E4220E 82177DCD D051E7CD 20E4221E 82177D7D D051E773 EC0B26E7 ADCF59E4 83026FE4 20E422EC 82177D9E 0F2189EC 2966BD21 D527397D EAECD530 20E42221 EC0B26E4 ADCF5996","76503852 95FCDD66 0F218918 2966BDDE D5273962 EAECD5EC 20E422EC 82177D9E D051E7DC EC0B2627 ADCF59D2 83026F76 0F2189EC 2966BD21 D527397D EAECD530 20E42221 82177DE4 D051E77D EC0B26E4 ADCF5996 83026F22 D52739E4 EAECD542 20E4220E 82177DCD D051E7CD 20E4221E 82177D7D D051E773 EC0B26E7 ADCF59E4 83026FE4 20E422EC 82177D9E<cf>82177D9E D051E7DC EC0B2627 ADCF59D2 83026F76 0F2189EC 2966BD21 D527397D EAECD530 20E42221 82177DE4 D051E77D EC0B26E4 ADCF5996 83026F22 D52739E4 EAECD542 20E4220E 82177DCD D051E7CD 20E4221E 82177D7D D051E773 EC0B26E7 ADCF59E4 83026FE4 20E422EC 82177D9E 0F2189EC 2966BD21 D527397D EAECD530 20E42221 EC0B26E4 ADCF5996"
"13D4A51046E70D4798DC2E924B998D59","8","8"
"1554897D4EEF45FDD3C3669760714FF8","9","9"
"87093AC749F82F3A1DF7B2A017E56FE2","9","9"
"CB1B896C48385D1F0B71E38BBCAEE883","90% antiseptic alcoholic wipes.","Антисептичні серветки просочені 90% спиртовим розчином."
"9E929B784D589E887D3B0082D4F0F13F","999","999"
"C7479CCF4CE620ED2E94569BD76D88AF","99:99","99:99"
"D0B85CC142DD4785657373A674C33E9F",":",":"
"F80E23014035E77078A024BD9EB42ED2",":  ",":  "
"576DBFAC470042F8D85872B86DBCC568","< {Name}","< {Name}"
"3907EB884A6AE8FC9F7A9B8231B20A5D","> ADMIN ACCESS PRIVILEGES","> ПРАВА ДОСТУПУ АДМІНА"
"39156EAD49B9695AAC3A7B92DBB81BC8","> ADVANCED TRIOP FEATURES","> РОЗШ. МОЖЛИВОСТІ TRIOP"
"D23566BA4F3BAA4B9FCF39A2FD29D0CE","> CITADEL MODULES CONTROL","> МОДУЛІ КЕР. «ЦИТАДЕЛЛЮ»"
"383A1DBB4B8DE8BD04C4BD9053C43F06","> CYBER COUNTERMEASURES","> КІБЕРКОНТРЗАХОДИ"
"4565BB3A4C1DD96CA2EFBE8EFDE3C5B8","> ETHICS CHIP INTEGRATION","> ІНТЕГРАЦІЯ ЕТИЧН. ЧИПА"
"881C0E9C495B9FDE16990F8783FE5804","> POWER MANAGEMENT SETUP","> КЕРУВАННЯ ЖИВЛЕННЯМ"
"A4DC2D8043DF2AB8AD19EA85B9E536F7","> STANDARD TRIOP FEATURES","> СТАНДАРТНІ МОЖЛ. TRIOP"
"BF048B4F45B93C9406BC0992CEBFA60F","???","???"
"58FB1C354AD74A0AE1AC5B8B4CF704E8","A","А"
