key,source,Translation,context
Mastery::Mastery.MineDestroyed.Name,Defuse,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.MineDestroyed.Requirement,Destroy mines before they explode.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.MineDestroyed.Progress,Mines destroyed,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.MineDestroyed.Bonus,Damage received by mines,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.KillWhileDrifting.Name,Drifting,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.KillWhileDrifting.Requirement,Destroy enemies during Drift Trance.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.KillWhileDrifting.Progress,Enemies killed while drifting,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.KillWhileDrifting.Bonus,Damage received while drifting,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.KillWhileBoosting.Name,Booster,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.KillWhileBoosting.Requirement,Destroy enemies while boosting.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.KillWhileBoosting.Progress,Enemies killed while boosting,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
